"","site","species","Girth (cm)"
"646",7,"Dolichandrone atrovirens",25
"647",7,"Dolichandrone atrovirens",16
"648",8,"Dolichandrone atrovirens",3.5
"649",8,"Dolichandrone atrovirens",3
"650",8,"Dolichandrone atrovirens",2.5
"651",8,"Dolichandrone atrovirens",2.6
"652",8,"Dolichandrone atrovirens",2.8
"653",8,"Dolichandrone atrovirens",3
"654",8,"Dolichandrone atrovirens",3
"655",8,"Chloroxylon swietenia",3
"656",8,"Gardenia gummifera",4
"657",8,"Dolichandrone atrovirens",16
"658",8,"Dolichandrone atrovirens",21
"659",8,"Dolichandrone atrovirens",17
"660",8,"Dolichandrone atrovirens",16
"661",8,"Dolichandrone atrovirens",18
"662",8,"Dolichandrone atrovirens",22
"663",8,"Dolichandrone atrovirens",17
"664",8,"Chloroxylon swietenia",22
"665",8,"Chloroxylon swietenia",18
"666",8,"Chloroxylon swietenia",17
"667",8,"Chloroxylon swietenia",29
"668",8,"Chloroxylon swietenia",30
"669",8,"Chloroxylon swietenia",19
"670",8,"Dolichandrone atrovirens",21
"671",8,"Dolichandrone atrovirens",19
"672",8,"Dolichandrone atrovirens",13
"673",8,"Dolichandrone atrovirens",12
"674",8,"Dolichandrone atrovirens",11
"675",8,"Dolichandrone atrovirens",17
"676",9,"Cassia montana",2
"677",9,"Cassia montana",3
"678",9,"Cassia montana",3.5
"679",9,"Cassia montana",4.5
"680",9,"Cassia montana",4
"681",9,"Dolichandrone atrovirens",3
"682",9,"Dolichandrone atrovirens",2.5
"683",9,"Dolichandrone atrovirens",2
"684",9,"Dolichandrone atrovirens",2
"685",9,"Dolichandrone atrovirens",4.4
"686",9,"Dolichandrone atrovirens",14
"687",9,"Dolichandrone atrovirens",16
"688",9,"Dolichandrone atrovirens",12
"689",9,"Dolichandrone atrovirens",11
"690",9,"Dolichandrone atrovirens",16
"691",9,"Dolichandrone atrovirens",18
"692",9,"Chloroxylon swietenia",15
"693",9,"Chloroxylon swietenia",14
"694",9,"Dolichandrone atrovirens",22
"695",9,"Dolichandrone atrovirens",19
"696",9,"Dolichandrone atrovirens",18
"697",9,"Dolichandrone atrovirens",22
"698",9,"Dolichandrone atrovirens",14
"699",9,"Dolichandrone atrovirens",16
"700",9,"Dolichandrone atrovirens",23
"701",9,"Dolichandrone atrovirens",19
"702",9,"Dolichandrone atrovirens",20
"703",10,"Dolichandrone atrovirens",3.3
"704",10,"Dolichandrone atrovirens",3.5
"705",10,"Dolichandrone atrovirens",3.2
"706",10,"Dolichandrone atrovirens",3
"707",10,"Dolichandrone atrovirens",3
"708",10,"Dolichandrone atrovirens",4
"709",10,"Dolichandrone atrovirens",4.5
"710",10,"Dolichandrone atrovirens",2.1
"711",10,"Dolichandrone atrovirens",2.3
"712",10,"Dolichandrone atrovirens",2.9
"713",10,"Dolichandrone atrovirens",2.7
"714",10,"Dolichandrone atrovirens",2.5
"715",10,"Dolichandrone atrovirens",4.1
"716",10,"Dolichandrone atrovirens",4.5
"717",10,"Dolichandrone atrovirens",4.7
"718",10,"Dolichandrone atrovirens",4
"719",10,"Dolichandrone atrovirens",4
"720",10,"Dolichandrone atrovirens",3.1
"721",10,"Dolichandrone atrovirens",3
